ID,Card Name,Bank ID,Spending Categories ID,Joining Fees,Annual Fees,Joining Waiver Threshold,Annual Fee Waiver Threshold,Tags,Type
8,MRCC,3,3,1000,4500,0,150000,shopping,rewards
11,AMEX PLATINUM TRAVEL,3,5,3500,5000,100000000000000,100000000000000,"travel,airport lounge",rewards
12,AMEX SMART EARN,3,6,495,495,100000000000000,40000,"shopping,dining,food delivery",rewards
13,AU ALTURA,5,7,199,199,10000,10000,"shopping, movies, utility",cashback
14,AU ZENITH,5,8,7999,7999,125000,500000,"shopping, lounge, travel, dining, movies, utility",rewards
15,AU ZENITH PLUS,5,9,4999,4999,100000000000000,800000,"shopping, travel, dining, movies, lounge",rewards
16,AXIS AIRTEL CC,1,10,500,500,100000000000000,200000,"online shopping, cashback, utility bills",cashback
17,AXIS FLIPKART,1,11,500,500,100000000000000,350000,"shopping, dining, movies",cashback
18,AXIS INDIAN OIL RUPAY,1,12,500,500,100000000000000,350000,"fuel, utility",rewards
19,AXIS MAGNUS,1,13,12500,12500,100000000000000,2500000,"travel,lounge,shopping",rewards
20,AXIS MY ZONE,1,14,0,0,100000000000000,100000000000000,"shopping,movies,food delivery",rewards
21,AXIS VISTARA,1,15,1500,1500,100000000000000,100000000000000,"travel, lounge",rewards
22,HDFC INDIAN OIL,8,16,500,500,100000000,50000,fuel,rewards
23,HDFC INFINIA,8,17,12500,12500,1000000000,1000000,"travel, dining, shopping, lounge",rewards
24,HDFC MILLENIA,8,18,1000,1000,100000000000,100000,"shopping, food delivery, dining",rewards
25,HDFC SWIGGY,8,19,500,500,200000000,200000,"food delivery, dining",cashback
26,HDFC TATA NEU,8,20,499,499,10000000,100000,"shopping, travel, dining",cashback
27,HDFC SHOPPERS STOP,8,21,299,299,1000000000,10000000000,shopping,cashback
29,SBI BPCL OCTANE,11,23,1499,1499,10000000000,10000000000,fuel,rewards
30,SBI CASHBACK,11,24,999,999,1000000000,200000,"shopping, dining, utility",cashback
31,SBI SIMPLY CLICK,11,27,499,499,100000000000,100000,"shopping, movies, partner offers",rewards
32,StanC EASE MY TRIP,12,25,350,350,1000000,50000,travel,cashback
33,StanC SMART,12,26,499,499,10000000,120000,"shopping, food delivery, utility",cashback
34,ICICI HPCL SUPER SAVER,4,28,500,500,10000000000,150000,fuel,rewards
