ID,Card ID,Spending Category,CB Percentage,Total Max Cap,Category Max Cap,RP1,Spend Conversion,RP2,Threshold 2,RP3,Threshold 3,Category Max Points,Total Max Points,Cash Conversion,Other Conversion,,,,,,,,,,,,,,,,,,,,,,,,
12,8,amex_1RP,0,10000000,1000000,1,50,0,0,0,0,10000000,10000000,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
13,8,no_benefit,0,10000000,1000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,11,amex_1RP,0,0,0,1,50,0,0,0,0,2147483647,2147483647,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,
16,11,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,amex_10RP,0,500,500,10,50,0,0,0,0,500,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
18,12,amex_5RP,0,0,0,5,50,0,0,0,0,250,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
19,12,amex_1RP,0,0,0,1,50,0,0,0,0,2147483647,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
20,12,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
21,13,au_1P,1,100,50,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
22,13,au_2P,2,100,50,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
23,13,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
24,14,au_5RP,0,0,0,5,100,0,0,0,0,2147483647,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
25,14,au_10RP,0,0,0,10,100,0,0,0,0,2147483647,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
26,14,au_20RP,0,0,0,20,100,0,0,0,0,5000,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
27,14,au_1RP,0,0,0,1,100,0,0,0,0,100,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
28,14,no_benefit,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,,,,,,,,,,,,,,,,,,,,,,,,
29,15,au_1RP,0,0,0,1,100,0,0,0,0,2147483647,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30,15,au_2RP,0,0,0,2,100,0,0,0,0,1000000000,100000000,1,1,,,,,,,,,,,,,,,,,,,,,,,,
31,15,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
32,16,axis_1P,1,500,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
33,16,axis_10P,10,500,250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
34,16,axis_25P,25,500,250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
35,16,axis_utility_10P,10,499,250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
36,16,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
37,17,axis_5P,5,2147483647,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38,17,axis_1P,1,2147483647,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
39,17,axis_4P,4,2147483647,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
40,17,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,ID,Card ID,Spending Category,CB Percentage,Total Max Cap,Category Max Cap,RP1,Spend Conversion,RP2,Threshold 2,RP3,Threshold 3,Category Max Points,Total Max Points,Cash Conversion,Other Conversion
41,18,axis_5RP,0,0,0,5,100,0,0,0,0,250,1250,0.25,0.25,,,,,,,,,54,24,hdfc_5P,,0,0,5,100,0,0,0,0,1000,1000,1,0.3
42,18,axis_20RP,0,0,0,20,100,0,0,0,0,1000,1250,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
43,18,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
44,19,axis_12RP,0,0,0,12,200,35,150000,0,0,2147483647,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
45,19,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
46,20,axis_4RP,0,0,0,4,200,0,0,0,0,2147483647,2147483647,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,
47,20,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
48,21,axis_2CV,0,0,0,2,200,0,0,0,0,2147483647,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
49,21,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
50,22,hdfc_1RP,0,0,0,1,150,0,0,0,0,10000000,10000000,0.2,0.96,,,,,,,,,,,,,,,,,,,,,,,,
51,22,hdfc_5RP,0,0,0,5,100,0,0,0,0,100,2147483647,0.2,0.96,,,,,,,,,,,,,,,,,,,,,,,,
52,22,hdfc_fuel_5P,0,0,0,10,150,0,0,0,0,250,100000000,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,
53,23,hdfc_5RP,0,0,0,5,150,0,0,0,0,2147483647,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
54,24,hdfc_5P,0,0,0,5,100,0,0,0,0,1000,1000,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
55,24,hdfc_1P,0,0,0,1,100,0,0,0,0,1000,1000,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
56,25,hdfc_5P,5,3500,1500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
57,25,hdfc_10P,10,3500,1500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
58,25,hdfc_1P,1,3500,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
59,26,hdfc_1P,1,10000000,10000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
60,26,hdfc_2P,2,1000000000,10000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
61,27,hdfc_1P,1,100000000,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
64,29,sbi_1RP,0,0,0,1,100,0,0,0,0,10100000,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
65,29,sbi_25P,0,0,0,25,100,0,0,0,0,500,1000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
66,30,sbi_5P,5,5000,5000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
67,30,sbi_1P,1,5000,5000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
68,32,scb_2RP,0.25,2147483647,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
69,32,scb_20P,20,1250,1250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
70,32,scb_10RP,10,5000,416,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
71,33,scb_2P,2,1000000,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
72,33,scb_1P,1,1000000,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
73,31,sbi_5RP,0,0,0,5,100,1,200000,0,0,15000,15000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
74,31,sbi_10RP,0,0,0,10,100,0,0,0,0,10000,10000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
75,31,sbi_1RP,0,0,0,1,100,0,0,0,0,10000000,1000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
76,34,icici_2RP,0,0,0,2,100,0,0,0,0,400,1000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
77,34,icici_20RP,0,0,0,20,100,0,0,0,0,400,100000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
78,34,icici_fuel_20RP,0,0,0,20,100,0,0,0,0,800,10000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
79,35,icici_2RP,0,0,0,2,100,0,0,0,0,10000000,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
80,35,icici_10RP,0,0,0,10,100,0,0,0,0,400,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
85,39,idfc_3RP,0,0,0,3,150,10,20000,0,0,2147483647,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
86,39,idfc_1RP,0,0,0,1,150,0,0,0,0,2147483647,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
87,40,idfc_3RP,0,0,0,3,150,0,0,0,0,10000000,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
