ID,Card ID,Minimum Spend 1,Maximum Days 1,RP Bonus 1,Voucher Bonus 1,Voucher Of 1,Minimum Spend 2,Maximum Days 2,RP Bonus 2,Voucher Bonus 2,Voucher Of 2,Minimum Spend 3,Maximum Days 3,RP Bonus 3,Voucher Bonus 3,Voucher Of 3,Cash Conversion,Actions
4,8,6000,30,1000,0,,20000,30,1000,0,,0,0,0,0,0.2,,
5,11,190000,365,0,4500,Flipkart,400000,365,0,7500,Flipkart,0,0,0,0,0.3,,
6,12,120000,365,0,500,,180000,365,0,500,,240000,365,0,500,0,,
7,13,10000,30,0,50,,0,0,0,0,0,0,0,0,0,0,,
9,14,400000,180,0,2000,Brand Voucher,400000,180,0,2000,Brand Voucher,800000,365,0,25000,Taj Epicure,0,
11,15,75000,30,1000,0,,1200000,365,0,25000,Taj Epicure,0,0,0,0,1,,
12,21,125000,365,0,0,1 Economy Class Ticket,250000,365,0,0,1 Additional Economy Ticket,600000,365,0,0,1 more Economy Ticket,0,
13,29,300000,365,0,2000,Aditya Birla Fashion Or Yatra Or Bata/Hush Puppies,0,0,0,0,0,0,0,0,0,0,,
14,31,100000,365,0,2000,Cleartrip/Yatra,200000,365,0,2000,Cleartrip/Yatra,0,0,0,0,0,,
16,43,600000,365,4000,0,,0,0,0,0,0,0,0,0,0,0.75,,
18,47,90000,90,6000,0,,150000,365,0,10000,AIR TICKET,900000,365,0,40000,AIR TICKET,0.25,
19,54,600000,365,0,15000,Marriott Hotel,900000,365,0,15000,Marriott Hotel,1500000,365,0,15000,Marriott Hotel,0,
21,53,300000,365,5000,0,,0,0,0,0,0,0,0,0,0,0.25,,
22,67,30000,30,1500,0,,0,0,0,0,0,0,0,0,0,0.25,,
23,64,50000,90,0,1000,Pizza Hut,500000,365,0,7000,Yatra.com/Pantaloons,0,0,0,0,0.25,,
24,63,400000,365,20000,0,,500000,365,0,15000,,800000,365,0,15000,,0.25,
25,24,100000,90,0,1000,Gift Voucher,0,0,0,0,0,0,0,0,0,0,,
