ID,Category Name,Flipkart Spends,Amazon Spends,Grocery spends online,Online food ordering,Other online spends,Other offline spends,Dining or going out,Fuel,School fees,Rent,Mobile phone bills,Electricity bills,Water bills,OTT channels,New monthly category 1,New monthly category 2,New monthly category 3,Hotels annual,Flights annual,Insurance health annual,Insurance car or bike annual,Large electronics purchase like mobile TV etc,All pharmacy,New category 1,New category 2,New category 3
3,AMEX MRCC,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,no_benefit,no_benefit,no_benefit,amex_1RP,no_benefit,no_benefit,amex_1RP,amex_1RP,no_benefit,no_benefit,amex_1RP,amex_1RP,no_benefit,amex_1RP,amex_1RP,amex_1RP,no_benefit,no_benefit,no_benefit
5,AMEX PTCC,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,amex_1RP,no_benefit,amex_1RP,no_benefit,no_benefit,no_benefit,no_benefit,amex_1RP,amex_1RP,amex_1RP,no_benefit,amex_1RP,amex_1RP,no_benefit,no_benefit,amex_1RP,amex_1RP,no_benefit,no_benefit,no_benefit
6,AMEX SECC,amex_10RP,amex_5RP,amex_10RP,amex_10RP,amex_1RP,amex_1RP,amex_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,amex_1RP,amex_10RP,amex_10RP,no_benefit,amex_10RP,amex_10RP,no_benefit,no_benefit,amex_1RP,amex_1RP,no_benefit,no_benefit,no_benefit
7,AU ACC,au_1P,au_1P,au_2P,au_1P,au_1P,au_2P,au_1P,no_benefit,no_benefit,no_benefit,au_2P,au_2P,au_2P,au_1P,au_1P,au_1P,no_benefit,au_1P,au_1P,no_benefit,no_benefit,au_1P,au_1P,no_benefit,no_benefit,no_benefit
8,AU ZCC,au_5RP,au_5RP,au_10RP,au_5RP,au_5RP,au_10RP,au_20RP,no_benefit,no_benefit,no_benefit,au_1RP,au_1RP,au_1RP,au_5RP,au_5RP,au_5RP,no_benefit,au_5RP,au_5RP,au_1RP,au_1RP,au_5RP,au_5RP,no_benefit,no_benefit,no_benefit
9,AU ZPCC,au_1RP,au_1RP,au_1RP,au_1RP,au_1RP,au_1RP,au_2RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,au_1RP,au_1RP,au_1RP,no_benefit,au_2RP,au_2RP,no_benefit,no_benefit,au_1RP,au_1RP,no_benefit,no_benefit,no_benefit
10,AXIS Airtel CC,axis_1P,axis_1P,axis_10P,axis_10P,axis_1P,axis_1P,axis_10P,no_benefit,no_benefit,no_benefit,axis_25P,axis_utility_10P,axis_utility_10P,axis_1P,no_benefit,no_benefit,no_benefit,axis_1P,axis_1P,no_benefit,no_benefit,axis_1P,axis_1P,no_benefit,no_benefit,no_benefit
11,AXIS FCC,axis_5P,axis_1P,axis_1P,axis_4P,axis_1P,axis_1P,axis_1P,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_1P,axis_1P,axis_1P,no_benefit,axis_5P,axis_5P,no_benefit,no_benefit,axis_5P,axis_1P,no_benefit,no_benefit,no_benefit
12,AXIS IORCC,axis_5RP,axis_5RP,axis_5RP,axis_5RP,axis_5RP,no_benefit,axis_5RP,axis_20RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_5RP,axis_5RP,axis_5RP,no_benefit,axis_5RP,axis_5RP,no_benefit,no_benefit,axis_5RP,axis_5RP,no_benefit,no_benefit,no_benefit
13,AXIS MCC,axis_12RP,axis_12RP,axis_12RP,axis_12RP,axis_12RP,axis_12RP,axis_12RP,axis_12RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_12RP,axis_12RP,axis_12RP,no_benefit,axis_35RP,axis_35RP,no_benefit,no_benefit,axis_12RP,axis_12RP,no_benefit,no_benefit,no_benefit
