ID,Card ID,Minimum Spend,Maximum Days,Domestic Lounge Quarterly,Domestic Lounge Annually,International Lounge Quarterly,International Lounge Annually,Railway Lounge Quarterly,Railway Lounge Annually,Actions
4,11,0,30,2,8,0,0,0,0,
5,13,0,0,0,0,0,0,2,8,
6,14,20000,90,2,8,0,0,2,8,
7,15,0,30,4,16,4,16,0,0,
8,16,50000,90,1,4,0,0,0,0,
9,17,50000,30,1,4,0,0,0,0,
10,19,50000,90,5,20,0,0,0,0,
11,20,50000,90,1,4,0,0,0,0,
12,21,50000,90,2,8,0,0,0,0,
13,23,0,30,100,100,100,97,0,0,
14,24,100000,90,1,4,0,0,0,0,
16,29,0,30,1,4,0,0,0,0,
17,32,0,30,1,4,0,2,0,0,
19,39,20000,30,2,8,0,0,4,16,
20,40,20000,30,1,4,0,0,0,0,
21,41,0,30,2,8,0,0,0,0,
22,43,0,30,2,8,0,0,0,0,
23,46,0,90,8,8,1,1,0,0,
24,47,20000,90,2,8,1,4,0,0,
25,54,0,365,0,12,0,12,0,0,
26,53,50000,90,2,0,0,12,0,0,
27,59,20000,30,0,4,0,2,0,0,
28,67,0,0,2,0,0,0,0,0,
29,55,0,0,0,0,0,0,2,0,
30,64,0,0,2,8,2,4,0,0,
31,60,20000,30,1,4,0,4,4,0,
32,63,0,0,2,0,2,6,0,0,
33,77,0,365,1,4,0,0,0,0,
